season,as_of_round,driver_id,driver_code,constructor_id,standings_position,points,wins
2026,11,antonelli,ANT,mercedes,1,219.0,6
2026,11,hamilton,HAM,ferrari,2,169.0,1
2026,11,russell,RUS,mercedes,3,160.0,2
2026,11,leclerc,LEC,ferrari,4,138.0,1
2026,11,norris,NOR,mclaren,5,128.0,1
2026,11,max_verstappen,VER,red_bull,6,109.0,0
2026,11,piastri,PIA,mclaren,7,92.0,0
2026,11,hadjar,HAD,red_bull,8,68.0,0
2026,11,lawson,LAW,rb,9,43.0,0
2026,11,gasly,GAS,alpine,10,42.0,0
2026,11,arvid_lindblad,LIN,rb,11,23.0,0
2026,11,colapinto,COL,alpine,12,19.0,0
2026,11,bearman,BEA,haas,13,18.0,0
2026,11,bortoleto,BOR,audi,14,10.0,0
2026,11,sainz,SAI,williams,15,6.0,0
2026,11,albon,ALB,williams,16,5.0,0
2026,11,ocon,OCO,haas,17,3.0,0
2026,11,hulkenberg,HUL,audi,18,2.0,0
2026,11,alonso,ALO,aston_martin,19,1.0,0
2026,11,stroll,STR,aston_martin,20,0.0,0
2026,11,bottas,BOT,cadillac,21,0.0,0
2026,11,perez,PER,cadillac,22,0.0,0
